id,cui,denumire,dosare_count
51,,MAXIM TOOLS INTERNATIONAL SRL,1
103,,MCAT TECHNOLOGY SRL PRIN REPREZENTANT LEGAL,1
124,,MECODIS COMPANY SRL  PRIN REPREZENTANT LEGAL,1
52,,MELINDA-IMPEX STEEL SA,1
49,,MESER ROMÂNIA GAZ SRL,1
132,,METALCARS GRUP SRL PRIN REPREZENTANT LEGAL,1
37,,METALDISC SRL,1
265,,MHS TRUCK SERVICE S.R.L.,1
19,,MIRAS STEEL TRADE SRL,1
266,,MITHRAS BUILD S.R.L.,1
33,,MOLDOPLAST - DEPOZITUL DE FOLIE SRL,1
98,,MTR AUTO SERVICE SRL PRIN REPREZENTANT LEGAL,1
57,,NANO CLOUD ROMÂNIA SRL,1
267,,NECCONSULTING S.R.L.,1
268,,NEGOTRAD FOOD S.R.L.,1
188,,NELTIN CONSTR SRL,1
165,,NOMIS 2003 SRL,1
269,,OLARIU CONSTRUCT S.R.L.,1
30,,OLTEAN PRODLEMN SRL,1
48,,ONIX HI-FI SRL,1
91,,ORANGE ROMANIA SA PRIN REPREZENTANT LEGAL,1
62,,ORANGE ROMÂNIA SA,1
64,,P & T VEST CONSTRUCT SRL,1
45,,PANAUTO SRL,1
206,,PECOLIN ART SRL,1
194,,PETPOP EXPERT SECURITY SRL,1
192,,POPESCU DUMITRU GABRIEL PFA,1
253,,PORCHE BANK ROMÂNIA S.A.-LA CAB.AVOCAT CRIANA MACARESCU,1
9,,PORCHE LEASING ROMÂNIA IFN SA,1
254,,PORCHE LEASING ROMÂNIA IFN SA ŞI PORCHE BROKER DE ASIGURARE S.R.L.-LA CRIANA MACARESCU,1
101,,PROENERGY CINTRACTOR DIVISION SRL PRIN REPREZENTANT LEGAL,1
199,,PRONED CONTROL SRL,1
61,,PROTEHNIC ART SRL,1
270,,RAD TRANS S.R.L.,1
225,,RAJA SA,1
15,,RATZ WOOD SRL,1
24,,RECCA METAL WORKSHOP SRL,1
125,,RENEVIA SERV SRL PRIN REPREZENTANT LEGAL,1
18,,RENOVATIO TRADING SRL,1
187,,ROCREDIT IFN SA,1
63,,ROMSILVA SA,1
22,,ROSECOS VADURI SRL,1
272,,ROSSAL S.R.L.,1
111,,RS ACTIV SRL PRIN AV. OVIDIU MAZILU,1
55,,RTC PROFFICE EXPERIENCE SRL,1
11,,RYWAL RHC ROMANIA SRL,1
287,TEST287123,S.C. DEDEMAN S.R.L.PUNCT DE LUCRU DIN RÂMNICU VÂLCEA,1
110,,SC  GRAELLS & LLONCH ADMINISTRARE PARC INDUSTRIAL SA,1
150,,SC ACTIV METAL GAZ SRL PRIN REPREZENTANT LEGAL,1
168,,SC ADIX TECHNIX SRL,1
170,,SC AERZEN ROMÂNIA SRL,1
77,,"SC AGETAPS CONSTRUCT SRL, PRIN ADMINISTRATOR SPECIAL MUNTEAN ANDREI",1
146,,SC AGETAPS SRL PRIN ADMINISTRATOR JUDICIAR,1
153,,SC AGRA TRANSILVANIA SRL PRIN REPREZENTANT LEGAL,1
171,,SC ALESS CONCEPT SRL,1
173,,SC ALFA COM SRL PRIN LICHIDATOR CABINET INDIVIDUAL DE INSOLVENŢĂ LUCIA AUGUSTIN,1
118,,SC ALICO PARTS SRL PRIN REPREZENTANT LEGAL,1
142,,SC ALMAR BETON SRL PRIN REPREZENTANT LEGAL,1
175,,SC ALRICH PLAST SRL,1
176,,SC AMINODAN 2004 SRL,1
177,,SC ANAMAR IMPEX SRL,1
120,,SC ANTREPRIZA CONSTRUCTII MONTAJ NR. 4 BUCURESTI SA PRIN REPREZENTANT LEGAL,1
78,,"SC ANVELO SRL, PRIN REPREZENTANT LEGAL",1
179,,SC AQUA D&P TECHONOLIES SRL,1
89,,SC AQUA SERVICE SRL PRIN REPREZENTANT LEGAL,1
87,,SC ARC ELECTRONIC SRL,1
180,,SC ARCHISTRUCTURE SRL,1
182,,SC ARCINNA DYNAMIC SOLUTION SRL,1
184,,SC ASCOMI TRADE COMPANY SRL,1
147,,SC ASFAROM CONSTRUCTII DRUMURI SRL PRIN REPREZENTANT LEGAL,1
185,,SC ASIO ROMÂNIA SRL,1
189,,SC ATLAS COPCO ROMÂNIA SRL,1
190,,SC ATV&MOTO EXTREM SRL,1
191,,SC AUTO BECORO SRL,1
193,,SC AUTOMATIC CONCEPT SRL,1
195,,SC AUTOMATIC GRUP SA,1
196,,SC BARNA INTERVENŢII SRL,1
198,,SC BEESPEED AUTOMATIZĂRI SRL,1
200,,SC BETANIA IMPEX SRL,1
140,,SC BEZO  SRL PRIN REPREZENTANT LEGAL,1
201,,SC BIBUS SES SRL,1
203,,SC BIG - WELD SRL,1
205,,SC BLACK GOAT MEDIA SRL,1
207,,SC CANTABRIA IMPEX SRL,1
208,,SC CARADIMA PROIECT SRL,1
209,,SC CASA AUTO SRL,1
108,,SC CEMPLUS RO SRL,1
211,,SC CENTRAL SERVICE INSTAL SRL,1
212,,SC CM METAL TRADING SRL,1
213,,SC COMPLEX DESERVIRE SRL,1
214,,SC COMPLEX MARA SA,1
151,,SC CONPRIF SA  PRI REPREZENTANT LEGAL,1
215,,SC CONTERM INTERNAŢIONAL SRL,1
217,,SC CRISTAL SRL,1
218,,SC CUMPĂNA 1993 SRL,1
219,,SC DAFI INDUSTRIAL SRL,1
