CUI;Denumire Firma;Tribunal;Dosar;Tip Procedura;Data Publicare;Administrator Judiciar;In DB
47312157;INSTANT PELLET - SRL;Tribunalul Specializat Arges;224/1259/2024;Insolvență;02.12.2024;propune un onorariu fix lunar de 3.000 lei +;NU
;camera;;;;;;NU
41066614;PRIMUS ALEXANDER INSTAL SRL;Tribunalul București în;735/115/2024;Faliment;29.02.2024;al debitorului Soc. PRIMUS ALEXANDER;DA
38575219;KINAF TOP COMPANY SRL;Tribunalul Iasi;183/93/2023;Faliment;19.08.2024;CERES INSOLV SPRL-PHOENCIA;NU
