CUI;Denumire Firma;Tribunal;Dosar;Tip Procedura;Data Publicare;Administrator Judiciar;In DB
33675551;SC STEFYADY 2021 SRL;Tribunal Bacău;27597/3/2024;Insolvență;02.12.2024;Cabinet Individual de Insolvență Grecu Nicola și să;NU
31067264;Dorex General Investments SRL;Tribunalul Giurgiu;3265/96/2013;Insolvență;18.10.2022;;DA
;Creditorii au confirmat pra;;;Insolvență;;;NU
19098504;Zaha Magic Trust SRL.;Tribunalul Timiș Secția a II a Civilă;3542/85/2016;Insolvență;12.12.2024;PREMIER INSOLV SPRL;NU
