CUI;Denumire Firma;Tribunal;Dosar;Tip Procedura;Data Publicare;Administrator Judiciar;In DB
19711675;COMO DADA COMPLET SRL;Tribunalul Argeș;198/1259/2023;;02.12.2024;;NU
19711675;ui SC FLACHIM CONSTRUCT SRL;Tribunalul Specializat Argeș;3158/111/2024;Insolvență;25.07.2023;numit la întocmirea tabelului;NU
37938332;VYKSIR INSTAL SRL;;;;;T&A INSOLVENCY IPURL;NU
25057150;Consolid SRL;Tribunalul București;1486/119/2021;Insolvență;02.10.2023;al debitoarei VYKSIR INSTAL SRL –;DA
